CUBE_ID,TABLE_ID
FINREP_REF_F_12.01.b_REF_FINREP 3.0,FINREP_REF_F_12.01.b_REF_FINREP 3.0
FINREP_REF_F_19.00.c_REF_FINREP 3.0,FINREP_REF_F_19.00.c_REF_FINREP 3.0
FINREP_REF_F_16.07.b_REF_FINREP 3.0,FINREP_REF_F_16.07.b_REF_FINREP 3.0
FINREP_REF_F_16.04.1_REF_FINREP 3.0,FINREP_REF_F_16.04.1_REF_FINREP 3.0
FINREP_REF_F_25.02.c_REF_FINREP 3.0,FINREP_REF_F_25.02.c_REF_FINREP 3.0
FINREP_REF_F_04.02.1_REF_FINREP 3.0,FINREP_REF_F_04.02.1_REF_FINREP 3.0
FINREP_REF_F_04.04.1_REF_FINREP 3.0,FINREP_REF_F_04.04.1_REF_FINREP 3.0
FINREP_REF_F_19.00.d_REF_FINREP 3.0,FINREP_REF_F_19.00.d_REF_FINREP 3.0
FINREP_REF_F_25.01.c_REF_FINREP 3.0,FINREP_REF_F_25.01.c_REF_FINREP 3.0
FINREP_REF_F_08.01.a_REF_FINREP 3.0,FINREP_REF_F_08.01.a_REF_FINREP 3.0
FINREP_REF_F_20.05.a_REF_FINREP 3.0,FINREP_REF_F_20.05.a_REF_FINREP 3.0
FINREP_REF_F_04.02.2_REF_FINREP 3.0,FINREP_REF_F_04.02.2_REF_FINREP 3.0
FINREP_REF_F_20.05.b_REF_FINREP 3.0,FINREP_REF_F_20.05.b_REF_FINREP 3.0
FINREP_REF_F_08.01.b_REF_FINREP 3.0,FINREP_REF_F_08.01.b_REF_FINREP 3.0
FINREP_REF_F_18.00.e_REF_FINREP 3.0,FINREP_REF_F_18.00.e_REF_FINREP 3.0
FINREP_REF_F_15.00.a_REF_FINREP 3.0,FINREP_REF_F_15.00.a_REF_FINREP 3.0
FINREP_REF_F_09.01.1_REF_FINREP 3.0,FINREP_REF_F_09.01.1_REF_FINREP 3.0
FINREP_REF_F_25.02.b_REF_FINREP 3.0,FINREP_REF_F_25.02.b_REF_FINREP 3.0
FINREP_REF_F_19.00.b_REF_FINREP 3.0,FINREP_REF_F_19.00.b_REF_FINREP 3.0
FINREP_REF_F_15.00.b_REF_FINREP 3.0,FINREP_REF_F_15.00.b_REF_FINREP 3.0
FINREP_REF_F_18.00.c_REF_FINREP 3.0,FINREP_REF_F_18.00.c_REF_FINREP 3.0
FINREP_REF_F_11.03.1_REF_FINREP 3.0,FINREP_REF_F_11.03.1_REF_FINREP 3.0
FINREP_REF_F_00.01_REF_FINREP,FINREP_REF_F_00.01_REF_FINREP
FINREP_REF_F_05.01_REF_FINREP 2.8,FINREP_REF_F_05.01_REF_FINREP 2.8
FINREP_REF_F_24.02_REF_FINREP 2.9,FINREP_REF_F_24.02_REF_FINREP 2.9
FINREP_REF_F_23.03_REF_FINREP 2.9,FINREP_REF_F_23.03_REF_FINREP 2.9
FINREP_REF_F_18.01_REF_FINREP 2.9,FINREP_REF_F_18.01_REF_FINREP 2.9
FINREP_REF_F_20.04_REF_FINREP 2.8,FINREP_REF_F_20.04_REF_FINREP 2.8
FINREP_REF_F_16.08_REF_FINREP 2.9,FINREP_REF_F_16.08_REF_FINREP 2.9
FINREP_REF_F_04.08_REF_FINREP 2.9,FINREP_REF_F_04.08_REF_FINREP 2.9
