CUBE_ID,COMBINATION_ID
F_20_04_REF_FINREP_3_0,112792_REF
F_20_04_REF_FINREP_3_0,429378_REF
F_20_04_REF_FINREP_3_0,112799_REF
F_20_04_REF_FINREP_3_0,429323_REF
F_20_06_REF_FINREP_3_0,152169_REF
F_20_04_REF_FINREP_3_0,151067_REF
F_40_01_REF_FINREP_3_0,457221_REF
F_20_04_REF_FINREP_3_0,152480_REF
F_40_01_REF_FINREP_3_0,456458_REF
F_40_01_REF_FINREP_3_0,456082_REF
F_20_04_REF_FINREP_3_0,429286_REF
F_20_04_REF_FINREP_3_0,152579_REF
F_20_04_REF_FINREP_3_0,152475_REF
F_09_01_REF_FINREP_3_0,155545_REF
F_11_02_REF_FINREP_3_0,151591_REF
F_10_00_REF_FINREP_3_0,153224_REF
F_20_01_REF_FINREP_3_0,45686_REF
F_07_02_REF_FINREP_3_0,155370_REF
F_04_09_REF_FINREP_3_0,151677_REF
F_04_09_REF_FINREP_3_0,153038_REF
F_11_01_REF_FINREP_3_0,151441_REF
F_04_07_REF_FINREP_3_0,45694_REF
F_01_02_REF_FINREP_3_0,11349_REF
F_09_02_REF_FINREP_3_0,84990_REF
F_04_09_REF_FINREP_3_0,151703_REF
F_14_00_REF_FINREP_3_0,11002_REF
F_13_01_REF_FINREP_3_0,429432_REF
F_01_02_REF_FINREP_3_0,113198_REF
F_14_00_REF_FINREP_3_0,151995_REF
F_07_01_REF_FINREP_3_0,441727_REF
F_42_00_REF_FINREP_3_0,11787_REF
F_04_08_REF_FINREP_3_0,150368_REF
F_31_01_REF_FINREP_3_0,152150_REF
F_41_02_REF_FINREP_3_0,151164_REF
F_04_09_REF_FINREP_3_0,150390_REF
F_04_08_REF_FINREP_3_0,150476_REF
F_20_01_REF_FINREP_3_0,113136_REF
F_41_02_REF_FINREP_3_0,151186_REF
F_11_01_REF_FINREP_3_0,151400_REF
F_13_01_REF_FINREP_3_0,429435_REF
F_04_06_REF_FINREP_3_0,45898_REF
F_14_00_REF_FINREP_3_0,152892_REF
F_07_01_REF_FINREP_3_0,150824_REF
F_04_09_REF_FINREP_3_0,46516_REF
F_07_02_REF_FINREP_3_0,155430_REF
F_05_01_REF_FINREP_3_0,408956_REF
F_14_00_REF_FINREP_3_0,11487_REF
F_10_00_REF_FINREP_3_0,152034_REF
F_07_01_REF_FINREP_3_0,150629_REF
F_04_08_REF_FINREP_3_0,153471_REF
F_41_01_REF_FINREP_3_0,11467_REF
F_07_01_REF_FINREP_3_0,150566_REF
F_04_09_REF_FINREP_3_0,67573_REF
F_11_02_REF_FINREP_3_0,153300_REF
F_11_02_REF_FINREP_3_0,234390_REF
F_10_00_REF_FINREP_3_0,151910_REF
F_07_01_REF_FINREP_3_0,150771_REF
F_05_01_REF_FINREP_3_0,152439_REF
F_05_01_REF_FINREP_3_0,152430_REF
F_07_02_REF_FINREP_3_0,155416_REF
F_41_01_REF_FINREP_3_0,152071_REF
F_41_01_REF_FINREP_3_0,151668_REF
F_04_10_REF_FINREP_3_0,153174_REF
F_06_01_REF_FINREP_3_0,152407_REF
F_07_01_REF_FINREP_3_0,408823_REF
F_04_09_REF_FINREP_3_0,153113_REF
F_11_02_REF_FINREP_3_0,151622_REF
F_04_09_REF_FINREP_3_0,151705_REF
F_04_09_REF_FINREP_3_0,153101_REF
F_04_09_REF_FINREP_3_0,150331_REF
F_07_01_REF_FINREP_3_0,150569_REF
F_04_08_REF_FINREP_3_0,153473_REF
F_09_02_REF_FINREP_3_0,39668_REF
F_41_01_REF_FINREP_3_0,151656_REF
F_07_01_REF_FINREP_3_0,150605_REF
F_07_02_REF_FINREP_3_0,155367_REF
F_11_02_REF_FINREP_3_0,153329_REF
F_07_01_REF_FINREP_3_0,150561_REF
F_11_02_REF_FINREP_3_0,151540_REF
F_07_01_REF_FINREP_3_0,150733_REF
F_06_01_REF_FINREP_3_0,150972_REF
F_04_08_REF_FINREP_3_0,153528_REF
F_01_01_REF_FINREP_3_0,45749_REF
F_13_01_REF_FINREP_3_0,429469_REF
F_07_01_REF_FINREP_3_0,150567_REF
F_20_01_REF_FINREP_3_0,234417_REF
F_04_10_REF_FINREP_3_0,153195_REF
F_07_01_REF_FINREP_3_0,441734_REF
F_04_08_REF_FINREP_3_0,153529_REF
F_11_02_REF_FINREP_3_0,151452_REF
F_04_08_REF_FINREP_3_0,153440_REF
F_20_02_REF_FINREP_3_0,45827_REF
F_05_01_REF_FINREP_3_0,152591_REF
F_13_01_REF_FINREP_3_0,429443_REF
F_04_09_REF_FINREP_3_0,150444_REF
F_04_10_REF_FINREP_3_0,152148_REF
F_10_00_REF_FINREP_3_0,151928_REF
F_04_08_REF_FINREP_3_0,150362_REF
F_31_01_REF_FINREP_3_0,67897_REF
F_04_10_REF_FINREP_3_0,150403_REF
F_41_01_REF_FINREP_3_0,151860_REF
F_11_01_REF_FINREP_3_0,151498_REF
F_14_00_REF_FINREP_3_0,11386_REF
F_04_10_REF_FINREP_3_0,153218_REF
F_11_02_REF_FINREP_3_0,153402_REF
F_41_01_REF_FINREP_3_0,152060_REF
F_04_09_REF_FINREP_3_0,151699_REF
F_14_00_REF_FINREP_3_0,11138_REF
F_20_01_REF_FINREP_3_0,46015_REF
F_14_00_REF_FINREP_3_0,10998_REF
F_04_10_REF_FINREP_3_0,153173_REF
F_04_09_REF_FINREP_3_0,153105_REF
F_04_07_REF_FINREP_3_0,45678_REF
F_07_01_REF_FINREP_3_0,150778_REF
F_10_00_REF_FINREP_3_0,153279_REF
F_14_00_REF_FINREP_3_0,152902_REF
F_11_02_REF_FINREP_3_0,234389_REF
F_14_00_REF_FINREP_3_0,11372_REF
F_14_00_REF_FINREP_3_0,152010_REF
F_11_02_REF_FINREP_3_0,45603_REF
F_10_00_REF_FINREP_3_0,151088_REF
F_04_09_REF_FINREP_3_0,46541_REF
F_14_00_REF_FINREP_3_0,151745_REF
F_04_09_REF_FINREP_3_0,151689_REF
F_04_08_REF_FINREP_3_0,153515_REF
F_11_02_REF_FINREP_3_0,153377_REF
F_04_09_REF_FINREP_3_0,153048_REF
F_13_01_REF_FINREP_3_0,429458_REF
F_11_02_REF_FINREP_3_0,151336_REF
F_10_00_REF_FINREP_3_0,152038_REF
F_07_01_REF_FINREP_3_0,150613_REF
F_11_02_REF_FINREP_3_0,153307_REF
F_04_10_REF_FINREP_3_0,153143_REF
F_10_00_REF_FINREP_3_0,153227_REF
F_20_02_REF_FINREP_3_0,11327_REF
F_05_01_REF_FINREP_3_0,408950_REF
F_11_01_REF_FINREP_3_0,11485_REF
F_04_09_REF_FINREP_3_0,153044_REF
F_20_02_REF_FINREP_3_0,11431_REF
F_05_01_REF_FINREP_3_0,152464_REF
F_11_02_REF_FINREP_3_0,151623_REF
F_01_02_REF_FINREP_3_0,113196_REF
F_07_01_REF_FINREP_3_0,150626_REF
F_14_00_REF_FINREP_3_0,11125_REF
F_41_02_REF_FINREP_3_0,151163_REF
F_01_01_REF_FINREP_3_0,46023_REF
F_04_08_REF_FINREP_3_0,153447_REF
F_41_02_REF_FINREP_3_0,151190_REF
F_41_01_REF_FINREP_3_0,152259_REF
F_09_01_REF_FINREP_3_0,155566_REF
F_10_00_REF_FINREP_3_0,10690_REF
F_20_02_REF_FINREP_3_0,113171_REF
F_14_00_REF_FINREP_3_0,151809_REF
F_07_01_REF_FINREP_3_0,150637_REF
F_11_01_REF_FINREP_3_0,151504_REF
F_04_09_REF_FINREP_3_0,429265_REF
F_04_08_REF_FINREP_3_0,153413_REF
F_42_00_REF_FINREP_3_0,11922_REF
F_20_01_REF_FINREP_3_0,45740_REF
F_04_08_REF_FINREP_3_0,150370_REF
F_01_01_REF_FINREP_3_0,10974_REF
F_04_10_REF_FINREP_3_0,153199_REF
F_06_01_REF_FINREP_3_0,152571_REF
F_11_01_REF_FINREP_3_0,151484_REF
F_14_00_REF_FINREP_3_0,152021_REF
F_04_08_REF_FINREP_3_0,153409_REF
F_04_09_REF_FINREP_3_0,429264_REF
F_11_02_REF_FINREP_3_0,153400_REF
F_10_00_REF_FINREP_3_0,151926_REF
F_04_09_REF_FINREP_3_0,150387_REF
F_09_01_REF_FINREP_3_0,155629_REF
F_04_09_REF_FINREP_3_0,153124_REF
F_04_08_REF_FINREP_3_0,153511_REF
F_10_00_REF_FINREP_3_0,151104_REF
F_07_01_REF_FINREP_3_0,441693_REF
F_10_00_REF_FINREP_3_0,150998_REF
F_14_00_REF_FINREP_3_0,11272_REF
F_04_10_REF_FINREP_3_0,152105_REF
F_07_01_REF_FINREP_3_0,150734_REF
F_05_01_REF_FINREP_3_0,152443_REF
F_06_01_REF_FINREP_3_0,150982_REF
F_11_01_REF_FINREP_3_0,151485_REF
F_14_00_REF_FINREP_3_0,151993_REF
F_04_09_REF_FINREP_3_0,151708_REF
F_04_10_REF_FINREP_3_0,150352_REF
F_07_01_REF_FINREP_3_0,150760_REF
F_11_02_REF_FINREP_3_0,151342_REF
F_14_00_REF_FINREP_3_0,11383_REF
F_14_00_REF_FINREP_3_0,151755_REF
F_04_08_REF_FINREP_3_0,429529_REF
F_04_10_REF_FINREP_3_0,150342_REF
F_04_10_REF_FINREP_3_0,153203_REF
F_07_01_REF_FINREP_3_0,150777_REF
F_10_00_REF_FINREP_3_0,152054_REF
F_05_01_REF_FINREP_3_0,152453_REF
F_10_00_REF_FINREP_3_0,151922_REF
F_11_02_REF_FINREP_3_0,151525_REF
F_11_02_REF_FINREP_3_0,151555_REF
F_14_00_REF_FINREP_3_0,11392_REF
F_11_01_REF_FINREP_3_0,151380_REF
F_08_02_REF_FINREP_3_0,151236_REF
F_11_01_REF_FINREP_3_0,151545_REF
F_14_00_REF_FINREP_3_0,152019_REF
F_07_02_REF_FINREP_3_0,150666_REF
F_11_02_REF_FINREP_3_0,151426_REF
F_05_01_REF_FINREP_3_0,408952_REF
F_04_10_REF_FINREP_3_0,152073_REF
F_04_08_REF_FINREP_3_0,153533_REF
F_14_00_REF_FINREP_3_0,11014_REF
F_04_10_REF_FINREP_3_0,67599_REF
F_06_01_REF_FINREP_3_0,429376_REF
F_10_00_REF_FINREP_3_0,151085_REF
F_14_00_REF_FINREP_3_0,152974_REF
F_11_01_REF_FINREP_3_0,151444_REF
F_11_01_REF_FINREP_3_0,151349_REF
F_41_02_REF_FINREP_3_0,151188_REF
F_10_00_REF_FINREP_3_0,152036_REF
F_07_02_REF_FINREP_3_0,155379_REF
F_14_00_REF_FINREP_3_0,152904_REF
F_10_00_REF_FINREP_3_0,153262_REF
F_14_00_REF_FINREP_3_0,151794_REF
F_20_01_REF_FINREP_3_0,152855_REF
F_14_00_REF_FINREP_3_0,10996_REF
F_06_01_REF_FINREP_3_0,152397_REF
F_11_02_REF_FINREP_3_0,151552_REF
F_11_01_REF_FINREP_3_0,151567_REF
F_07_02_REF_FINREP_3_0,150659_REF
F_04_08_REF_FINREP_3_0,153437_REF
F_20_02_REF_FINREP_3_0,11229_REF
F_42_00_REF_FINREP_3_0,441777_REF
F_04_09_REF_FINREP_3_0,153106_REF
F_11_02_REF_FINREP_3_0,151597_REF
F_10_00_REF_FINREP_3_0,151023_REF
F_10_00_REF_FINREP_3_0,153247_REF
F_11_01_REF_FINREP_3_0,151422_REF
F_04_07_REF_FINREP_3_0,45677_REF
F_11_01_REF_FINREP_3_0,151419_REF
F_09_01_REF_FINREP_3_0,155527_REF
F_07_01_REF_FINREP_3_0,150797_REF
F_04_09_REF_FINREP_3_0,151707_REF
F_11_02_REF_FINREP_3_0,148833_REF
F_11_01_REF_FINREP_3_0,151551_REF
F_01_02_REF_FINREP_3_0,45972_REF
F_07_01_REF_FINREP_3_0,441701_REF
F_11_02_REF_FINREP_3_0,151593_REF
F_10_00_REF_FINREP_3_0,153240_REF
F_20_01_REF_FINREP_3_0,113135_REF
F_07_01_REF_FINREP_3_0,150762_REF
F_04_10_REF_FINREP_3_0,429145_REF
F_01_02_REF_FINREP_3_0,45851_REF
F_14_00_REF_FINREP_3_0,151987_REF
F_11_02_REF_FINREP_3_0,151462_REF
F_14_00_REF_FINREP_3_0,11358_REF
F_11_02_REF_FINREP_3_0,151423_REF
F_04_01_REF_FINREP_3_0,67315_REF
F_04_10_REF_FINREP_3_0,150346_REF
F_20_01_REF_FINREP_3_0,152727_REF
F_01_02_REF_FINREP_3_0,11437_REF
F_07_01_REF_FINREP_3_0,441707_REF
F_10_00_REF_FINREP_3_0,153232_REF
F_04_09_REF_FINREP_3_0,153076_REF
F_11_02_REF_FINREP_3_0,151588_REF
F_11_01_REF_FINREP_3_0,151355_REF
F_04_09_REF_FINREP_3_0,153041_REF
F_07_02_REF_FINREP_3_0,150664_REF
F_05_01_REF_FINREP_3_0,152418_REF
F_05_01_REF_FINREP_3_0,152426_REF
F_04_09_REF_FINREP_3_0,153050_REF
F_31_01_REF_FINREP_3_0,152152_REF
F_01_01_REF_FINREP_3_0,45746_REF
F_11_01_REF_FINREP_3_0,151448_REF
F_04_09_REF_FINREP_3_0,151692_REF
F_14_00_REF_FINREP_3_0,11276_REF
F_04_09_REF_FINREP_3_0,151652_REF
F_07_01_REF_FINREP_3_0,150623_REF
F_04_10_REF_FINREP_3_0,152124_REF
