CELL_ID,AXIS_ORDINATE_ID
2741046_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
3153007_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
2739995_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_231
2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_010
2741014_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_031
3153198_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
3151414_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
3152490_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
2741196_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
2786819_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
2740287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
2739935_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_120
2740216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
3151847_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_030
2741151_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
3152949_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
3152655_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
3151840_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_010
2739789_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
2740389_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
2760062_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_005
2739811_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
3152369_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
3153137_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
2786814_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
3153074_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
3153106_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
2740054_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
2760078_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
3153068_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_140
2740228_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
3152391_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
2740092_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
2739860_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2760055_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_290
3153235_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_090
2760074_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_129
3152556_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
2740957_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_083
2739842_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739849_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
2739793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
3153124_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_120
2740264_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
2740331_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_110
2786697_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_070
2741300_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
3151404_REF,FINREP_REF_F_44_03_REF_FINREP 2_9_1_010
3151838_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_020
3153099_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
2740271_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
3151861_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_010
3152515_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
3153039_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_010
2739786_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
3151902_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_070
2740194_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_080
3152505_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
2740379_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_310
3170401_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_032
3152389_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_120
2740041_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
3152664_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_060
3173427_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
2739717_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
2786801_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
2740339_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
3151955_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
2740081_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
2740087_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
3170360_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_035
2739733_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_140
2740021_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
2740173_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
2759989_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
3170241_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
2739771_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_160
2740396_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_210
2760004_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_233
2739892_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_040
3152995_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
2739791_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
3152416_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_005
2739931_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_090
2786756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_130
2741183_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
2740292_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
3153181_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
3152566_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
2760001_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_177
2739819_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
2760104_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_020
2740240_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
3170255_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
3152377_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
3152468_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_140
3152643_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_040
3152654_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
2740317_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_030
2741017_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
2760084_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_080
2741274_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_009
2739897_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
2739832_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739839_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
3152606_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_040
2741185_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_199
3153259_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
3153117_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_050
2741228_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
2741279_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_060
3170412_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_036
3152973_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_1_009
2739997_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_233
3152480_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_060
2741297_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_039
3152803_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_015
3173419_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_2_211
3151864_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_2_040
3151907_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_1_020
3152303_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_020
2786766_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_141
3152546_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_020
2739718_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_050
2760175_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_120
3153147_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
3151912_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_1_020
3152672_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
2760197_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
2741009_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
3153250_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_025
3152779_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_070
2740019_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_010
3152599_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_170
2741028_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_200
